k,q,b,sharpe,dsr,t,turnover,dd,yrs_pos,yrs,null_p95,mean_auc,ic,null_sd,stage1,stage2,kind
24,0.3,0.5,1.097,0.009,-2.97,21.0,-15.1,2,9,1.109,0.531,-0.009,0.0311,False,False,econ
24,0.3,1.0,1.111,0.023,-2.94,19.7,-13.4,2,9,1.131,0.531,-0.009,0.0311,False,False,econ
48,0.3,0.5,1.089,0.001,-3.07,21.1,-15.3,3,9,1.113,0.524,0.049,0.0432,False,False,econ
48,0.3,1.0,1.072,-0.016,-3.18,21.1,-13.9,1,9,1.135,0.524,0.049,0.0432,False,False,econ
