time,open,high,low,close,tick_volume,spread
2023-05-03 15:30:00,2012.28,2014.2,2010.12,2013.71,4144,7
2023-05-03 16:00:00,2013.73,2018.78,2012.38,2018.76,3385,7
2023-05-03 16:30:00,2018.75,2020.11,2013.07,2013.55,5081,7
2023-05-03 17:00:00,2013.61,2017.71,2011.84,2015.33,5801,7
2023-05-03 17:30:00,2015.34,2022.02,2014.38,2021.23,4954,7
2023-05-03 18:00:00,2021.21,2026.82,2020.22,2025.42,4104,7
2023-05-03 18:30:00,2025.45,2026.3,2021.6,2023.5,3358,7
2023-05-03 19:00:00,2023.5,2025.25,2022.94,2023.11,2778,7
2023-05-03 19:30:00,2023.17,2024.75,2022.84,2024.04,2269,7
2023-05-03 20:00:00,2024.16,2028.2,2023.56,2027.95,2676,7
2023-05-03 20:30:00,2027.96,2028.53,2022.36,2023.56,2660,7
2023-05-03 21:00:00,2023.54,2036.04,2019.34,2022.13,8163,7
2023-05-03 21:30:00,2022.24,2023.74,2017.0,2022.89,8481,7
2023-05-03 22:00:00,2022.96,2027.62,2019.11,2025.58,6779,7
2023-05-03 22:30:00,2025.62,2035.88,2021.59,2035.03,5213,7
2023-05-03 23:00:00,2035.06,2035.32,2028.94,2031.17,1642,8
2023-05-03 23:30:00,2031.15,2038.0,2029.59,2037.75,829,10
2023-05-04 01:00:00,2061.36,2062.53,2044.63,2058.1,3110,7
2023-05-04 01:30:00,2058.1,2062.82,2053.86,2056.55,2710,7
2023-05-04 02:00:00,2056.54,2056.66,2050.48,2053.22,1766,7
2023-05-04 02:30:00,2053.11,2055.78,2051.81,2051.91,1425,7
2023-05-04 03:00:00,2051.92,2057.02,2051.76,2055.23,2322,7
2023-05-04 03:30:00,2055.23,2057.01,2054.35,2054.36,1604,7
2023-05-04 04:00:00,2054.4,2054.82,2046.24,2049.35,4311,7
2023-05-04 04:30:00,2049.35,2050.13,2043.59,2044.44,2368,7
2023-05-04 05:00:00,2044.25,2046.38,2043.33,2043.34,1608,9
2023-05-04 05:30:00,2043.35,2044.22,2038.41,2043.53,2129,8
2023-05-04 06:00:00,2043.51,2043.59,2040.44,2041.18,976,13
2023-05-04 06:30:00,2041.18,2041.26,2039.7,2040.95,938,13
2023-05-04 07:00:00,2040.93,2043.76,2040.73,2043.21,827,15
2023-05-04 07:30:00,2043.39,2045.39,2042.73,2044.28,946,11
2023-05-04 08:00:00,2044.28,2045.34,2043.11,2043.55,860,7
2023-05-04 08:30:00,2043.55,2044.71,2041.2,2042.72,1645,13
2023-05-04 09:00:00,2042.82,2043.41,2036.61,2038.59,3113,7
2023-05-04 09:30:00,2038.56,2040.35,2036.82,2039.19,2665,7
2023-05-04 10:00:00,2039.09,2039.47,2033.87,2034.37,3527,7
2023-05-04 10:30:00,2034.37,2036.2,2030.27,2034.53,3252,7
2023-05-04 11:00:00,2034.5,2035.57,2031.15,2032.88,2220,7
2023-05-04 11:30:00,2032.88,2035.48,2031.42,2034.42,2411,7
2023-05-04 12:00:00,2034.42,2035.61,2033.69,2034.83,1963,7
2023-05-04 12:30:00,2034.86,2038.48,2034.79,2037.79,2069,7
2023-05-04 13:00:00,2037.84,2040.65,2037.13,2039.34,1978,7
2023-05-04 13:30:00,2039.41,2040.55,2036.6,2039.89,1969,7
2023-05-04 14:00:00,2039.89,2044.88,2039.55,2043.5,2804,7
2023-05-04 14:30:00,2043.5,2043.98,2041.17,2041.97,2269,7
2023-05-04 15:00:00,2041.94,2042.9,2038.53,2039.58,4869,7
