plan,dial,passpct,med_mo,fail_day,fail_dd,exp_fee,exp_yr
3-Step Bootcamp ($225+$350),0.03,92.75,59.42857142857143,0.0,3.516666666666667,592.5876010781672,8130.063151955412
3-Step Bootcamp ($225+$350),0.05,80.75,32.50476190476191,0.0,19.216666666666665,628.6377708978328,13550.105253259022
3-Step Bootcamp ($225+$350),0.07,62.03333333333334,19.55238095238095,0.0,37.96666666666667,712.7082213863514,18970.14735456263
3-Step Bootcamp ($225+$350),0.1,43.95,10.666666666666668,0.0,56.05,861.9453924914676,27100.210506518044
3-Step Bootcamp ($225+$350),0.15,31.466666666666672,5.019047619047619,0.0,68.53333333333333,1065.0423728813557,40650.31575977706
