trigger,max_adds,size_mult,stop_policy,t_vs_base,years_better,sharpe,dd,cagr,calmar,total,n_trades,win_pct,worst_r,mean_legs
0.2,1,0.5,risk_constant,1.7074646856827382,7/9,1.0141076417557162,-13.496650757965668,10.511050595679805,0.7787895518802119,134.64923329920651,386,42.74611398963731,-1.05,1.5103626943005182
0.2,1,0.5,original,1.9806635651376663,6/9,0.9930495721646949,-14.281208095860276,10.65830395841434,0.7463166902178174,137.3309071946461,364,44.505494505494504,-1.46,1.5082417582417582
0.2,1,0.5,preallocated,-2.5358175367551277,0/9,0.9808552249265968,-9.766026650083903,7.032325386130744,0.7200805033713816,78.59823481533255,364,44.505494505494504,-0.96,1.5082417582417582
0.2,1,1.0,risk_constant,1.9195512856860777,5/9,0.9898487603813849,-18.12024933144507,12.125593538499446,0.6691736585245124,165.5672152243643,405,40.49382716049383,-1.06,1.5333333333333334
0.2,1,1.0,original,2.3113049036925344,7/9,0.9901045138854244,-17.556154364234732,12.82466074041595,0.7304937331003568,180.0333813992498,367,45.23160762942779,-1.92,1.5040871934604905
0.2,1,1.0,preallocated,-2.2022047733235497,1/9,1.0037690566480606,-9.072476112192085,6.57438182107466,0.7246513233845443,72.18126392839568,367,45.23160762942779,-0.96,1.5040871934604905
0.2,2,0.5,risk_constant,1.9888979540328249,7/9,1.039807215961048,-12.921580360391982,11.091718037876275,0.8583871112139879,145.38162824467315,388,42.78350515463917,-1.06,1.657216494845361
0.2,2,0.5,original,2.2964667332126574,5/9,1.019639755387853,-14.382937037124787,11.529576048256285,0.8016148592249625,153.75876625950121,366,45.62841530054645,-1.72,1.680327868852459
0.2,2,0.5,preallocated,-2.7996782707816,1/9,1.0132023456084127,-7.367818010191584,5.73361580927223,0.7781972629265771,60.92798620110307,366,45.62841530054645,-0.9,1.6830601092896176
0.2,2,1.0,risk_constant,1.7591008533501835,7/9,0.960297176183543,-21.298527981059657,11.900646205987474,0.5587543992040424,161.05471750991433,412,39.80582524271845,-1.08,1.616504854368932
0.2,2,1.0,original,2.317360187279049,5/9,0.9890936834049004,-18.023856780221447,13.951758770039667,0.7740717727711689,204.82496813210957,369,45.52845528455284,-2.4,1.6747967479674797
0.2,2,1.0,preallocated,-2.69449885925142,1/9,1.0168044183112943,-6.186081587924718,4.86348482277752,0.7861979758351525,49.9702796168024,369,45.52845528455284,-0.8,1.6747967479674797
0.2,3,0.5,risk_constant,1.9888979540328249,7/9,1.039807215961048,-12.921580360391982,11.091718037876275,0.8583871112139879,145.38162824467315,388,42.78350515463917,-1.06,1.657216494845361
0.2,3,0.5,original,2.329464742736887,6/9,1.0238612418752067,-14.074920570513783,11.700330970594797,0.8312893072452838,157.0934652807186,366,45.62841530054645,-1.9,1.7185792349726776
0.2,3,0.5,preallocated,-2.9445087631991838,1/9,1.0370706296257242,-5.747024386961897,4.781998027063117,0.8320824317209952,48.978663082214084,366,45.62841530054645,-0.76,1.7131147540983607
0.2,3,1.0,risk_constant,1.7591008533501835,7/9,0.960297176183543,-21.298527981059657,11.900646205987474,0.5587543992040424,161.05471750991433,412,39.80582524271845,-1.08,1.616504854368932
0.2,3,1.0,original,2.281519000857733,5/9,0.9831432758450641,-18.011499799970252,13.955888196003553,0.7748320989919231,204.91924932123067,369,45.52845528455284,-2.55,1.7100271002710028
0.2,3,1.0,preallocated,-3.0934670023177215,1/9,0.949481059448938,-4.915478666008144,3.447604973496099,0.7013772630806464,33.54341698759977,373,45.0402144772118,-0.64,1.710455764075067
0.35,1,0.5,risk_constant,1.1404953062860264,7/9,1.0055135142225131,-12.689536719815841,9.690746658470228,0.76368009900135,120.1942295986671,384,42.96875,-1.05,1.3645833333333333
0.35,1,0.5,original,0.47745764923204614,4/9,0.9373483431401707,-13.123152658084647,9.159034268075184,0.6979294157972529,111.25004850517497,366,44.26229508196721,-1.37,1.366120218579235
0.35,1,0.5,preallocated,-3.1692250711741785,1/9,0.94955213687837,-8.881404679735738,6.2132102833824865,0.6995751806647051,67.26478034885967,365,44.38356164383562,-0.92,1.3616438356164384
0.35,1,1.0,risk_constant,1.1962684894057782,5/9,0.9738778046271478,-15.773974637667143,10.290846987225466,0.652394036608354,130.68894727150501,395,42.278481012658226,-1.06,1.3924050632911393
0.35,1,1.0,original,0.7426816519297913,4/9,0.8858431214806867,-14.372893438706068,9.708948954031339,0.675504135297158,120.50624797208482,369,44.71544715447154,-1.71,1.3604336043360434
