name,sr_wf,dd_wf,t_bh,t_ch,yrp_bh,yrn_bh,dsr,pbo
"PO3/AMD (Asian-acc, London-manip, fade) [H1]",-0.39502259859744776,-11.609128527316315,-3.1303825364796665,-3.436028857173008,2,9,3.778105615771971e-05,0.10317460317460317
Judas Swing (day-open reversal) [H1],-0.7580662825418083,-28.756421266919,-3.525131447087179,-3.7922664127278742,1,9,0.0008002011911442507,0.746031746031746
