name,sr_wf,dd_wf,t_bh,t_ch,yrp_bh,yrn_bh,dsr,pbo
Breaker Block (standard reading),-0.6679774490833706,-42.189895652855725,-3.624197014085549,-4.082075591895068,2,9,0.003918925367754436,0.0
Mitigation Block (fade at unflipped zone),-1.0596411945766686,-59.0923586906265,-4.130901654577512,-4.362534924052308,1,9,3.927892955090035e-05,0.07142857142857142
Inversion FVG (flip-and-continue),-0.6048005834441392,-48.0510270044832,-3.502214427647064,-4.031093224460973,1,9,0.0030612593340793508,0.01984126984126984
