plan,dial,passpct,med_mo,fail_day,fail_dd,exp_fee,exp_yr
1-Step Growth ($249),0.03,99.19999999999999,31.08571428571429,0.0,0.45000000000000007,251.00806451612905,2926.8227347039483
1-Step Growth ($249),0.05,61.5,14.009523809523808,36.28333333333334,2.216666666666667,404.8780487804878,4878.037891173248
1-Step Growth ($249),0.07,46.96666666666667,7.628571428571428,49.35,3.6833333333333327,530.1632363378283,6829.253047642547
1-Step Growth ($249),0.1,39.8,3.8571428571428568,56.0,4.2,625.6281407035176,9756.075782346496
1-Step Growth ($249),0.15,31.216666666666658,1.8285714285714285,66.25,2.5333333333333337,797.6508275493862,14634.113673519741
