plan,dial,passpct,med_mo,fail_day,fail_dd,exp_fee,exp_yr
2-Step High Stakes ($491),0.03,97.68333333333334,48.84761904761905,0.0,0.03333333333333334,502.6445998976284,2926.8227347039483
2-Step High Stakes ($491),0.05,98.93333333333334,28.81904761904762,0.0,0.8166666666666667,496.2938005390835,4878.037891173248
2-Step High Stakes ($491),0.07,57.81666666666667,15.761904761904763,40.483333333333334,1.6833333333333336,849.2360910925338,6829.253047642547
2-Step High Stakes ($491),0.1,54.41666666666667,9.942857142857143,40.43333333333333,5.15,902.2970903522205,9756.075782346496
2-Step High Stakes ($491),0.15,44.35,4.857142857142858,48.46666666666667,7.183333333333333,1107.1025930101466,14634.113673519741
