signal,turnover,gross,raw/ECN $0.12,cent $0.34,Maven/FTMO $0.44
ewmac_fast(4-32h),658.1427268049858,0.6886984426186682,0.30512457727861125,0.043629696494096135,-0.07460872967979887
ewmac_fast(6-48h),444.8272151549833,0.6938648494725014,0.4350472968699936,0.2581191857261003,0.17797937266743477
ewmac_fast(12-60h),297.321306766669,0.6770069301768658,0.508845914959917,0.3936454878344048,0.34139573541895346
breakout(6-24h),1388.8569889767105,0.7106099551403627,-0.2660745304000809,-0.9244901215228961,-1.2199601470320578
breakout(12-48h),732.1853452878539,0.8440185354202497,0.3617577820542144,0.033935082802216535,-0.11403071971586785
zigzag(order2),640.3574595184365,0.5777548724594629,-0.08188898796913792,-0.5293367234700602,-0.7309337018121
zigzag(order3),467.0478570429129,0.7791041718620495,0.2960370274501595,-0.033096714210753934,-0.18182360104439232
zigzag(order5),295.44437394793505,0.5783928271505735,0.2737838414043911,0.06540208810184109,-0.02900491038512734
"supertrend(10,3)",498.05647080295586,-0.785488302820232,-0.8599657135069352,-0.9109090167149222,-0.93399385263704
"supertrend(6,2)",603.997897637503,0.18209041476436638,0.03631653273367801,-0.06310532076023707,-0.10807675849159135
