mode,order,stop,rr,lo,n_tr,sr_tr,net_tr,n_te,sr_te,net_te,hit_te
sweep,3,1.0,1.0,True,492,-0.3803886200637666,-12.767420823837185,198,-0.3654549591267959,-6.5047355191282605,48.484848484848484
sweep,3,1.0,1.0,False,868,-0.7471234464062448,-28.811492707068496,377,-0.8681587295482668,-19.21027843479642,47.48010610079575
sweep,3,1.0,1.5,True,476,-0.18356183192303238,-8.193366512622873,189,-0.7682554956372262,-15.049027622257753,35.44973544973545
sweep,3,1.0,1.5,False,788,-0.17060253241197443,-9.902008251572425,332,-1.279129315848907,-29.941637817043826,34.93975903614458
sweep,3,1.0,2.0,True,456,-0.3397619808033874,-15.596366151684833,187,-0.20798707805837108,-5.342736474383187,33.68983957219251
sweep,3,1.0,2.0,False,726,-0.14330779349909392,-9.73245421216518,314,-0.8626521412767988,-23.266351682834568,30.89171974522293
sweep,3,1.0,3.0,True,440,0.1265597035148873,5.391165016649822,178,-0.36369001473610324,-9.712827072628784,26.40449438202247
sweep,3,1.0,3.0,False,648,0.37777576419731157,25.639057689359547,283,-0.9679816691541216,-28.3875426028888,23.674911660777383
sweep,3,1.5,1.0,True,422,-0.12579346068132813,-6.6934558587802115,163,-0.06040755923421094,-2.1298678186915936,51.533742331288344
sweep,3,1.5,1.0,False,696,-0.22047312983772996,-13.698468487599925,283,-0.7598581309666885,-21.89691932266645,47.349823321554766
sweep,3,1.5,1.5,True,399,-0.1400611555651469,-8.5961896171967,156,0.19807415328153466,4.419643251418464,44.230769230769226
sweep,3,1.5,1.5,False,608,0.05086589545849688,0.8310479769808126,253,-0.4477417639173088,-15.287845356201245,40.71146245059288
sweep,3,1.5,2.0,True,389,-0.025895229928643442,-3.339719493132691,150,0.09264126846791244,1.5564523907585226,39.33333333333333
sweep,3,1.5,2.0,False,553,0.2489526044138133,15.627708367864116,228,-0.28013366867067024,-11.24690735955653,37.719298245614034
sweep,3,1.5,3.0,True,380,0.162585871245566,8.445517285895576,148,0.5643021146616218,19.594014908857787,37.83783783783784
sweep,3,1.5,3.0,False,516,0.2189397985836571,13.900929224332174,212,0.31478014112471064,11.50849009972194,35.84905660377358
sweep,3,2.0,1.0,True,368,-0.0742884617079027,-5.61602659463631,150,0.2442587552248537,5.87845962914291,53.333333333333336
sweep,3,2.0,1.0,False,576,-0.42327500790738043,-27.195866341220494,245,-0.7689129963737734,-25.64560074998984,47.3469387755102
sweep,3,2.0,1.5,True,355,0.24221858807253405,13.50602373585967,141,0.17982030707211005,4.3179355832393895,45.39007092198582
sweep,3,2.0,1.5,False,504,0.28658642539076,19.81238497762814,215,-0.4955654208897757,-19.45582203974196,42.32558139534884
sweep,3,2.0,2.0,True,348,0.4295165089442111,30.1853533124507,139,0.41563585948920007,13.33706630670406,43.884892086330936
