name,sr_wf,dd_wf,t_bh,t_ch,yrp_bh,yrn_bh,dsr,pbo
BOS baseline (regime-split reference),0.03570136902856061,-21.88428818353525,-2.5855209060049904,-3.4015717482811167,1,9,0.4219430271494036,0.2896825396825397
Displacement,0.41370433503053283,-6.874375274569489,-2.219611421009984,-2.8319601129217076,4,9,0.4980773457620033,0.4642857142857143
OTE-filtered BOS,-0.38415901204449576,-8.11345756955484,-2.997016569408919,-3.4443899532272098,3,9,0.01419357897453457,0.7341269841269841
EQH/EQL liquidity-pool fade,-0.44338592788100445,-31.391803976818156,-2.9652652918969964,-3.2581364801861863,2,9,0.011832932315463118,0.6587301587301587
