name,sr,dd,corr,book_sr,book_dd,t,yy,keep
TS VALUE (5y reversal),-0.6161500420538915,-12.85733256634738,-0.3667734105006674,1.1650122529200986,-5.19303688430468,-1.00226499485396,4/9,False
XS VALUE (5y reversal),-0.11153609383844026,-6.451146801683083,-0.299410289671723,1.3397632185974602,-5.3259352887884965,0.2857255024462301,6/9,False
XS BAB (low-vol),-0.5194511848631612,-15.077934000489723,-0.344376452189675,1.2129253418408705,-6.203778660004278,-0.7367843142375475,4/9,False
XS SKEW (lottery),-0.11134013483096558,-7.162992770730591,0.013747789064839838,1.1394380397191373,-8.758954723198553,-1.5122724437898918,1/9,False
SEASONALITY (month),-0.13567802888470837,-16.925586832696293,0.1740979190628454,1.0931652490959205,-7.049351348997135,-2.0849634880599957,3/9,False
TS TREND (control),0.6062669120853876,-6.613770002062946,0.48852771719927296,1.2693298136317683,-7.446819669685468,-0.43387164559487856,6/9,False
XS VALUE 3y (secondary),0.28619875707428877,-3.175592949966799,-0.23638832487168232,1.4300159382285864,-6.107196217902744,0.829651647713116,5/9,False
