book,k,sr,dd,h1,h2,worst
GoldEternal+US100+BRENT,3,1.0734004678758093,-10.445392187648238,0.9326462147715447,1.1971398843668895,0.9326462147715447
GoldEternal+US30+BRENT,3,1.0169484722265214,-10.846030613440139,0.7888271026985243,1.2185049197552986,0.7888271026985243
GoldEternal+US500+BRENT,3,1.0048446500092618,-12.258081256064502,0.8950621726516402,1.103460056868186,0.8950621726516402
GoldEternal+BRENT+BTCUSD,3,0.9802267217045093,-12.052473202756586,1.0525074349178822,0.9115435442616793,0.9115435442616793
GoldEternal+GER30+BRENT,3,0.9686998182908596,-11.881290889011165,0.4266496228484138,1.4125699751614476,0.4266496228484138
GoldEternal+US100+BRENT+BTCUSD,4,0.9511679861274305,-10.509682096909511,1.1170962855618782,0.7917562321970426,0.7917562321970426
GoldEternal+US100+US30+BRENT,4,0.9266816220611727,-9.879187367126596,0.8490217822189237,0.998124865300548,0.8490217822189237
GoldEternal+US30+BRENT+BTCUSD,4,0.9194693844286509,-10.807672387486168,1.0345335522695678,0.8093020270758879,0.8093020270758879
GoldEternal+US100+GER30+BRENT,4,0.9193554884679949,-10.16447031313964,0.5968285885882595,1.194040297307251,0.5968285885882595
GoldEternal+US500+BRENT+BTCUSD,4,0.9094650486291377,-11.864961150628229,1.0894960207880617,0.7367090733135434,0.7367090733135434
GoldEternal+US100+BTCUSD,3,0.901795056491736,-11.83442689054164,1.1214934372103693,0.6950833572306981,0.6950833572306981
GoldEternal+GER30+BRENT+BTCUSD,4,0.8892933415605572,-11.567381432487178,0.8226761247140587,0.9529581219468771,0.8226761247140587
GoldEternal+US100+US500+BRENT,4,0.8736555008748705,-10.96227947952022,0.8937966540919966,0.8551151953368326,0.8551151953368326
GoldEternal+US30+GER30+BRENT,4,0.8714045238347894,-10.467047977697542,0.4692226596765659,1.2179310160133183,0.4692226596765659
GoldEternal+US30+BTCUSD,3,0.8672935371790775,-13.553692607752165,1.0372050267473594,0.7093567759540843,0.7093567759540843
GoldEternal+US500+GER30+BRENT,4,0.8625961897834511,-11.528109993096091,0.580560757603365,1.1087963599096995,0.580560757603365
GoldEternal+US500+BTCUSD,3,0.8587158042437206,-12.105898023256255,1.0991334685695,0.6357234774764587,0.6357234774764587
GoldEternal+US100+US30+BRENT+BTCUSD,5,0.8581033210305539,-10.04270794951151,1.0406233955643942,0.683980852092334,0.683980852092334
GoldEternal+US100+GER30+BRENT+BTCUSD,5,0.8516428448713751,-10.277622626590288,0.8851978365768622,0.8207942272058874,0.8207942272058874
GoldEternal+US500+US30+BRENT,4,0.8455259513459026,-11.265632629383859,0.7915449472536797,0.896528931658082,0.7915449472536797
GoldEternal+US100+US30,3,0.8442240098703919,-9.491379552128887,0.8084696997337893,0.874492549779175,0.8084696997337893
GoldEternal+XAGUSD+US100+BRENT,4,0.8417232925695468,-8.769366158333803,0.6209765183902247,1.0269790102387175,0.6209765183902247
GoldEternal+US100+GER30,3,0.829252434744468,-11.661897903769692,0.4867192429568392,1.1012245606524496,0.4867192429568392
GoldEternal+GER30+BTCUSD,3,0.8266865521834793,-15.593090964066192,0.7734179775569433,0.8763971568820755,0.7734179775569433
GoldEternal+US30+GER30+BRENT+BTCUSD,5,0.8227231616533366,-10.530199703259091,0.8060184187884819,0.8386771658586933,0.8060184187884819
GoldEternal+XAGUSD+BRENT,3,0.8220431103823023,-9.97316927326315,0.4465923599057066,1.131037721340927,0.4465923599057066
GoldEternal+US100+US500+BRENT+BTCUSD,5,0.8208994778760615,-10.904196534726607,1.0568381990725493,0.5995222501075412,0.5995222501075412
GoldEternal+US500+GER30+BRENT+BTCUSD,5,0.8134741548729071,-11.40750943714891,0.86223170831144,0.7684560086532518,0.7684560086532518
GoldEternal+XAGUSD+US500+BRENT,4,0.8069780997402831,-10.150699025967757,0.6163834498414253,0.969031705843981,0.6163834498414253
GoldEternal+XAGUSD+US100+BRENT+BTCUSD,5,0.806416734766591,-9.161737111425206,0.8842658443258837,0.7356212952769099,0.7356212952769099
GoldEternal+XAGUSD+BRENT+BTCUSD,4,0.8063409801262521,-10.13014396279851,0.7985605356575184,0.8136503363115306,0.7985605356575184
GoldEternal+US100+US30+GER30+BRENT,5,0.8053518342069702,-9.788336471563008,0.5763407893296102,1.0093702031632157,0.5763407893296102
GoldEternal+US500+US30+BRENT+BTCUSD,5,0.8031677600285917,-11.15609786310613,0.9895341414693561,0.6249839817118529,0.6249839817118529
GoldEternal+US100+US30+BTCUSD,4,0.8005293923481991,-10.562731921304923,1.042897142785973,0.5800809929827248,0.5800809929827248
GoldEternal+XAGUSD+US30+BRENT,4,0.7985081024011952,-9.073317917292023,0.5097405336437473,1.0407482733837194,0.5097405336437473
GoldEternal+US100+GER30+BTCUSD,4,0.7891342758329388,-12.048149899263361,0.855228839656923,0.7301466884868829,0.7301466884868829
GoldEternal+US100+US500,3,0.7875945442909354,-10.857320919995296,0.8553878598954099,0.7303514981590232,0.7303514981590232
GoldEternal+XAGUSD+US500+BRENT+BTCUSD,5,0.779810224914654,-10.260509257714768,0.8723174584833064,0.6957347993898614,0.6957347993898614
GoldEternal+XAGUSD+US30+BRENT+BTCUSD,5,0.7788309189622535,-9.402728631775625,0.8128179900775889,0.7478863136517317,0.7478863136517317
GoldEternal+XAGUSD+US100+US30+BRENT,5,0.7787434864295949,-8.644155221780569,0.6239793950085692,0.9123243412281128,0.6239793950085692
GoldEternal+US30+GER30,3,0.7749559457264578,-14.067343354339867,0.33794178459420005,1.1193096635530904,0.33794178459420005
GoldEternal+US100+US500+GER30+BRENT,5,0.7707082929434135,-10.68242668142545,0.6407742327089979,0.8854487557837326,0.6407742327089979
GoldEternal+US500+GER30,3,0.7702087186315525,-11.602181713127013,0.4800177394340576,1.0054329109792026,0.4800177394340576
GoldEternal+US100+US500+BTCUSD,4,0.7623462519278584,-10.81866570779022,1.0563203176012514,0.49920450186431714,0.49920450186431714
GoldEternal+XAGUSD+US100+GER30+BRENT,5,0.7608582667194307,-8.911054129865859,0.3926590274325876,1.0617093951799936,0.3926590274325876
GoldEternal+US30+GER30+BTCUSD,4,0.7579081867041736,-14.074222570665029,0.7718877131610241,0.7452989393603296,0.7452989393603296
GoldEternal+US100+US500+US30+BRENT,5,0.7570577521770672,-10.44134994817364,0.799389887789196,0.7176253784812778,0.7176253784812778
GoldEternal+XAGUSD+GER30+BRENT,4,0.7570136914138793,-9.999376670045635,0.21536855654506418,1.1890401999193876,0.21536855654506418
GoldEternal+US500+US30,3,0.7568124678889087,-11.264617409445544,0.7431066659823462,0.7684490605357984,0.7431066659823462
GoldEternal+XAGUSD+US100+US500+BRENT,5,0.7567909779415921,-9.518727185065456,0.6878867322796636,0.8160833646221582,0.6878867322796636
GoldEternal+XAGUSD+US100,3,0.75604729436252,-15.321569921354461,0.5213607654360618,0.946653944119504,0.5213607654360618
GoldEternal+XAGUSD+GER30+BRENT+BTCUSD,5,0.751607515347201,-10.124723376961885,0.6262424583219037,0.8622051948985021,0.6262424583219037
GoldEternal+US500+GER30+BTCUSD,4,0.7511194439788811,-12.30702086864699,0.8361269556387262,0.6756328616336241,0.6756328616336241
GoldEternal+XAGUSD+US100+BTCUSD,4,0.749518162480999,-12.56746211869677,0.8526842985599802,0.6573723031524223,0.6573723031524223
GoldEternal+XAGUSD+BTCUSD,3,0.7450352381689169,-16.202949030025838,0.7455877652947348,0.7447404676636067,0.7447404676636067
GoldEternal+US500+US30+BTCUSD,4,0.7435695668715585,-11.261407529214928,0.9870635453194999,0.5221164071458881,0.5221164071458881
GoldEternal+US500+US30+GER30+BRENT,5,0.7434974140473186,-10.944912204544899,0.5480959084672049,0.9216554958651019,0.5480959084672049
GoldEternal+XAGUSD+US500+US30+BRENT,5,0.7299579500185457,-9.763204652189895,0.6002324998328896,0.8439705300190591,0.6002324998328896
GoldEternal+XAGUSD+US500+GER30+BRENT,5,0.7279558471449554,-9.998012972700565,0.39571515992073847,1.0042440040401748,0.39571515992073847
GoldEternal+XAGUSD+US500+BTCUSD,4,0.723515828480715,-12.776501170175614,0.846312974463091,0.6149426436576735,0.6149426436576735
GoldEternal+XAGUSD+US30+GER30+BRENT,5,0.7220983901325103,-9.12626991285026,0.2894012699487714,1.0774030339561247,0.2894012699487714
GoldEternal+XAGUSD+US500,3,0.7217282543900143,-14.01126081022478,0.5265394688180165,0.8809999559572314,0.5265394688180165
GoldEternal+XAGUSD+US30+BTCUSD,4,0.7196980608294189,-14.569654182655146,0.7783865792274741,0.6677530125399189,0.6677530125399189
GoldEternal+US100+US30+GER30,4,0.7096929990103757,-11.332444181059198,0.4873658941887666,0.8936854883581404,0.4873658941887666
GoldEternal+XAGUSD+US30,3,0.7075746402726619,-17.637106385286316,0.39626694998733736,0.9563129472198971,0.39626694998733736
GoldEternal+US100+US30+GER30+BTCUSD,5,0.7064642786413152,-11.529395659757924,0.8044961015589617,0.6203117409902962,0.6203117409902962
GoldEternal+XAGUSD+US100+US30+BTCUSD,5,0.6964429183999528,-12.072688003656506,0.8319968676819645,0.5782661179286882,0.5782661179286882
GoldEternal+XAGUSD+US100+US30,4,0.6928606053728761,-12.998192022681298,0.545318868117017,0.8142408749420595,0.545318868117017
GoldEternal+XAGUSD+GER30+BTCUSD,4,0.6857969269735058,-15.326980253934885,0.5590518147511236,0.7964215443645414,0.5590518147511236
GoldEternal+XAGUSD+US100+GER30+BTCUSD,5,0.6807907607149547,-12.68488362542628,0.6595018144086872,0.6989129800458803,0.6595018144086872
GoldEternal+US100+US500+GER30+BTCUSD,5,0.6801839460959285,-10.709620990373846,0.8338020613058623,0.546627706760544,0.546627706760544
GoldEternal+US100+US500+GER30,4,0.6781067163039484,-10.547791319378842,0.5652924267435246,0.7720604919612122,0.5652924267435246
GoldEternal+XAGUSD+US100+US500+BTCUSD,5,0.6774989213745195,-10.529286794692784,0.8646670555233762,0.5156308675080356,0.5156308675080356
GoldEternal+XAGUSD+US100+US500,4,0.6733331521657646,-10.752268607611526,0.6208524419723707,0.7170682973511819,0.6208524419723707
GoldEternal+US100+US500+US30+BTCUSD,5,0.6719983194018274,-10.401215817235842,0.9480579600654928,0.4244423247202933,0.4244423247202933
GoldEternal+US100+US500+US30,4,0.6695567031325123,-10.253616970961488,0.7529440968027892,0.596034446734539,0.596034446734539
GoldEternal+XAGUSD+US100+GER30,4,0.6678652512315935,-15.511895239355633,0.26769916737205857,0.9815949310656571,0.26769916737205857
GoldEternal+US500+US30+GER30+BTCUSD,5,0.6612395416203092,-11.556829447967898,0.7669876140082611,0.5676695717605269,0.5676695717605269
GoldEternal+XAGUSD+US500+US30+BTCUSD,5,0.6585554037655839,-12.288029125424549,0.801864151636703,0.5332847145984453,0.5332847145984453
