policy,sr_mean,sr_min,sr_max,dd,h1,h2,t_vs_champ
DQN (walk-forward),-0.18722364085847545,-0.41463959155897984,0.0678466022570579,-25.84769446944698,-0.43032985972795496,0.5566085903678628,-3.2940936210469633
CONTROL random actions,-0.23564861056639894,-0.43198225267832485,-0.0022930546637118395,-27.7152048670921,-0.24364906282523743,0.2075310725688547,-3.574826811638649
CONTROL always-max-long,1.0752283466975785,1.0752283466975785,1.0752283466975785,-16.83932945780886,0.6455924372117134,1.4531353659974307,-0.06628443559158119
CONTROL shuffled returns,-0.22648971632458018,-0.22648971632458018,-0.22648971632458018,-31.14654390298651,-0.2556101791312377,-0.19861528000553644,-2.802057890321258
