sleeve,half,sr_taper,sr_base,t,years
"XAU (H4, deployed)",2018-21,0.9221163315226462,0.7010230936536309,0.9087953529569913,2/4
"XAU (H4, deployed)",2022-26,1.6606950803719966,1.4182465415585939,1.0825798197942067,3/5
BTC (D1),2018-21,1.1082743429207846,1.2778420830460957,-1.1317199357695757,2/4
BTC (D1),2022-26,0.49830380084896625,0.6302358996508948,-0.9471453535637234,1/5
NDX (D1),2018-21,0.9949494099687625,0.9200797429071036,0.420331106160043,3/4
NDX (D1),2022-26,0.038820942725158215,0.17036943476559066,-1.05045467182098,2/5
BRENT (D1),2018-21,0.4632797634593592,0.6716250748371116,-1.3214802792075422,0/4
BRENT (D1),2022-26,0.682052722715919,0.6984808924197191,-0.06562118934515708,3/5
