t,sgn,lots,profit,move,fill_in_bar,atr,mom4,mom8,mom16,mom48,z20,rng_pos20,z96,rng_pos96,rsi14,bar_range_atr,body_frac,atr_pctl,ret1_atr,gap_atr
2025-10-15 02:02:00,1.0,0.1,-3.1,-0.3099999999994907,-1.1461086637297846,10.037693074186928,1.915778840603495,2.0044446319783145,4.03678411967002,7.48448866136355,1.5591485402699572,0.8919831223628536,2.1339935991435546,0.9470855725506329,63.79029155397122,0.6953789031415425,0.5654727793695492,0.9275,0.3915242248346709,-0.001693616239725721
2025-10-15 04:46:00,1.0,0.1,0.4,0.0399999999999636,4.283410138250114,8.679097250280702,-0.6521415576737313,0.8672560962209064,1.3895454391422384,4.606124213979387,0.31703254580997803,0.6858299595141627,1.491199175643901,0.8844206136431311,56.050602424012936,0.7201209779966299,0.4523200000000361,0.8675,0.3372470564153448,0.011521935647883202
2025-10-15 06:14:00,1.0,0.1,0.5,0.0500000000001819,0.7123026385503682,8.482112225093033,0.724229983874406,-0.14937317101894843,0.4837238521629043,5.35397301932084,0.6640813721046217,0.7539036518544212,1.6293214644386331,0.9249369644392452,57.860914434405856,0.8594557353808185,0.36584362139922966,0.8485,-0.32385801167234246,-0.009431613008285773
2025-10-15 07:43:00,1.0,0.1,-3.6,-0.3599999999996726,-0.542998897464205,7.626342660170381,1.2417485578583594,0.9100036949881114,2.1015315878347884,7.061051725519674,1.591410649956406,0.9680539533232781,1.9388886359027608,0.990243902439025,65.98846290569668,0.37894966549218256,0.027681660899625666,0.7705,0.015734934207271765,0.005244978069090587
2025-10-15 10:21:00,-1.0,0.1,72.4,7.239999999999782,-2.093680297397927,9.821718789544159,-0.370607230566949,-1.4233761217927627,0.7086336056993809,3.8992156892914864,0.005258745438149818,0.6490172482952238,1.3998788639517903,0.8401122951568559,54.33444393469152,0.9665314394977682,0.6979879911513672,0.919,0.6689256881386066,-0.0057016497010798466
2025-10-15 15:04:00,1.0,0.1,1.0,0.0999999999994543,1.3155737704917705,11.16792476296603,0.7124868916010747,0.839905371775528,-0.24355464938473986,2.1069268014795837,0.49443718144288357,0.6608537792936515,1.0551914684359955,0.8126287597857477,53.04782594704467,1.0891011766424328,0.14445449313495431,0.9525,0.1566987633909549,-0.0006267950536100765
2025-10-16 01:15:00,1.0,0.1,10.7,1.069999999999709,-0.23120494335735145,8.204496600671709,0.6853558814979754,1.2569936343389756,1.4190998627565776,3.3826572611082004,1.6888100396764898,0.7619271021292044,1.8607548962665375,0.910281517747861,59.257448792097335,1.5186794030702537,0.8244783306581146,0.8045,1.2521182590482247,0.0
2025-10-16 02:00:00,1.0,0.1,13.4,1.3400000000001455,-3.2440344896730746,8.40939541970689,2.3631900996627384,2.463078374393126,2.7853369750113495,4.70580797131545,1.9732021119265133,0.9179019725045013,2.5125484991698004,0.9613098591549382,64.79430777150547,1.0425244101918327,0.07722139842588038,0.8195,-0.07218116995396655,0.008324022894162921
2025-10-16 06:33:00,-1.0,0.1,0.3,0.0300000000006548,-1.673299101412056,8.831529488315807,0.07926146891384153,-1.530878656736358,-0.7982762226324891,4.094421022750347,-0.5974809485919521,0.5466735430634336,1.1474003952177363,0.7769205390452502,50.759660077207634,0.6182394575281287,0.4908424908425409,0.8575,0.30232588857145376,-0.0011323066987941747
2025-10-16 09:01:00,1.0,0.1,5.3,0.5300000000006548,0.876936316695317,7.320679111830147,0.3073485349691153,1.3837514041054095,-0.08332560281392855,3.0994392259773793,0.6388997586055627,0.820049986114956,1.4011675847283194,0.8826231505215333,56.15501162252255,0.6939246922858149,0.13385826771659465,0.6985,0.09835153119015169,0.005463973955001525
2025-10-16 10:55:00,1.0,0.1,10.9,1.0900000000001455,-0.24325980392153285,7.536473793928804,1.5776608962108656,0.9288163392326828,2.738681320251719,3.165936836298787,1.2137739544092025,0.9002011060834519,1.5821367200036762,0.9409015124449166,59.334167193874386,0.8230639646085551,0.24778333064637617,0.719,0.20394153048571886,0.0
2025-10-16 13:34:00,1.0,0.1,2.3,0.2300000000004729,0.18230483271370626,8.665963324190736,1.5055452592996006,0.8066039213998794,3.2783429766768486,3.094866548203892,1.8555610027954075,0.8976067858224754,1.8735288168345514,0.9571587913202175,63.77481944974851,1.2520246848625547,0.5336405529953705,0.8435,0.66928508499565,0.0011539398017417896
2025-10-17 08:19:00,-1.0,0.1,2.2,0.2200000000002546,0.529841269841286,17.860807125558214,-1.2020733357160218,-1.396353469620715,-2.067655719049488,2.2852830621294964,-2.240186423934172,0.3628595841640612,0.6420073607231473,0.7116092975993913,41.88407722486923,1.476417040653516,0.32043989381872784,0.996,-0.4686238388422381,0.004479080896934939
2025-10-20 03:30:00,1.0,0.1,7.1,0.7100000000000364,2.421764705882357,12.966612458041348,-0.9352481258494652,-0.631390814408328,0.5593596649449182,1.0842461780587416,0.2748564959017953,0.6847590017146191,-0.6114674458265396,0.35757654250634735,52.00177790416841,0.8077668731052902,0.10301699446253738,0.929,0.08938340709656956,0.006169691602860745
2025-10-20 06:23:00,-1.0,0.1,5.8,0.5799999999999272,1.1679181575366275,11.347129583530872,-1.5648010247253386,-1.5912394290628276,-1.662975632832082,3.2769520896252686,-2.060741859616275,0.31869878321330974,-0.6762816984089981,0.31597999782585146,42.16500875774136,1.2181935438599376,0.29183245315783346,0.897,0.36255865148235483,0.007050241156674421
2025-10-20 06:49:00,-1.0,0.1,18.4,1.8400000000001453,2.5997256515774225,12.491836222534351,-1.6538801527617484,-2.5894511762528674,-2.139557349606163,0.9510211139791815,-1.9004008597735333,0.2599119823964883,-0.8418043692844546,0.2640123926513775,39.452998489812074,1.5597386687517307,0.39155204270173816,0.9195,0.6075167705377738,-0.003202091292856255
2025-10-20 11:06:00,-1.0,0.1,0.9,0.0900000000001455,-0.05717916137225957,9.370154858514299,-0.6595408606704897,-0.443962779998222,1.958025270343162,-0.06435325873532843,0.21473068383133773,0.7412602983745284,-0.0769097995810698,0.4399514501085978,49.919925670222675,0.6054328968582464,0.5799400669838828,0.807,-0.3532492312005634,-0.002134436442345809
2025-10-20 12:48:00,1.0,0.1,-4.0,-0.4000000000005457,-3.156247864999483,11.937257186129667,4.718839438715604,5.21811660993423,5.122617285238099,6.6514441937515,3.292164416778134,0.9549826856483348,2.714682085235825,0.9745615306566219,81.01829097913182,2.663677216986299,0.8242915998364748,0.9065,2.2082124552555693,0.012565700617964078
