target,ablation,model,n,acc,auc,persist_acc
fwd6,regime,logreg,13652,0.49963375329622034,0.49530602501633886,0.4984617638441254
fwd6,regime,rf,13652,0.5118663932024612,0.5158965478950536,0.4984617638441254
fwd6,regime,histgb,13652,0.5197040726633461,0.5169622262642584,0.4984617638441254
fwd6,regime,xgb,13652,0.5194110753003223,0.5200069676688386,0.4984617638441254
fwd6,regime,lgbm,13652,0.5210958101377088,0.5136409441760841,0.4984617638441254
fwd6,hurstmulti,logreg,13652,0.5027102256079695,0.5012910445714845,0.4984617638441254
fwd6,hurstmulti,rf,13652,0.5145033694696748,0.5196488110228452,0.4984617638441254
fwd6,hurstmulti,histgb,13652,0.5184588338704952,0.5146801291797518,0.4984617638441254
fwd6,hurstmulti,xgb,13652,0.5213155581599765,0.5193526268463184,0.4984617638441254
fwd6,hurstmulti,lgbm,13652,0.5242455317902139,0.5202160559848825,0.4984617638441254
fwd6,hmm,logreg,13652,0.4953852915323762,0.49325660785635733,0.4984617638441254
fwd6,hmm,rf,13652,0.5048344564898916,0.504950969259131,0.4984617638441254
fwd6,hmm,histgb,13652,0.5147963668326985,0.5136283015765688,0.4984617638441254
fwd6,hmm,xgb,13652,0.5127453852915324,0.5082145506094153,0.4984617638441254
fwd6,hmm,lgbm,13652,0.5134046293583358,0.5081407661549068,0.4984617638441254
fwd6,wavelet,logreg,13652,0.5009522414298271,0.49509815565400245,0.4984617638441254
fwd6,wavelet,rf,13652,0.51098740111339,0.5125497972254327,0.4984617638441254
fwd6,wavelet,histgb,13652,0.5221945502490477,0.5140661756375942,0.4984617638441254
fwd6,wavelet,xgb,13652,0.5140638734251392,0.515745915420966,0.4984617638441254
fwd6,wavelet,lgbm,13652,0.5187518312335189,0.5208544317499945,0.4984617638441254
fwd6,regime2,logreg,13652,0.5000732493407559,0.49996417570563995,0.4984617638441254
fwd6,regime2,rf,13652,0.5128186346322883,0.5130293961797386,0.4984617638441254
fwd6,regime2,histgb,13652,0.518678581892763,0.5108022275224774,0.4984617638441254
fwd6,regime2,xgb,13652,0.5221945502490477,0.5148604803924608,0.4984617638441254
fwd6,regime2,lgbm,13652,0.5172868444184002,0.5120659481139518,0.4984617638441254
