sharpe,cagr,dd,ntrades,trades_per_yr,winrate,avg_r,profit_factor,avg_hold,pct_time_hit,sl,tp
-25.04825175545277,-28.224498575142075,-94.10207168047285,4522,529.8878729547642,15.280849181777976,-0.5415745245466477,0.360741320803983,1.0199026979212737,0.0,0.0005,0.001
-17.72328033356744,-26.000712447620565,-92.35165357418835,4491,526.2552935514918,14.139389890892899,-0.43442440436423385,0.4940352697096023,1.040748162992652,0.0,0.0005,0.0015
-12.274918973173483,-22.74566258076096,-88.9618974047964,4459,522.5055341674688,14.442700156985872,-0.27786499215064236,0.67522935779824,1.0625700829782463,0.0,0.0005,0.002
-8.28895271625985,-20.01617209408192,-85.28076626343172,4389,514.3029355149182,12.007290954659377,-0.15948963317378237,0.8187467633351293,1.1114149008885852,0.0,0.0005,0.003
-6.946897323477251,-19.145516201009794,-83.84782121184543,4312,505.28007699711264,9.62430426716141,-0.13381261595538863,0.8519373877342478,1.1667439703153988,0.0,0.0005,0.004
-5.170017862813124,-16.811339791434943,-79.46043358218047,4242,497.0774783445621,8.793022159358793,-0.03276756247044887,0.9640734039804487,1.2192362093352191,0.0,0.0005,0.005
-4.054278634464839,-15.76886549849721,-77.52502922565573,4094,479.7348411934553,6.204201270151441,-0.007327796775663504,0.9921875000001129,1.3356130923302394,0.0,0.0005,0.0075
-3.481735079918079,-14.926338506188653,-76.20084081968422,3979,466.2591434071222,4.825332998240764,0.013319929630666421,1.0139952468973918,1.4320180949987433,0.0,0.0005,0.01
-1.966511987118415,-10.575655432095676,-62.94139301373256,3692,432.62848893166506,3.8461538461538463,0.19230769230781314,1.2000000000001259,1.6988082340195017,0.0,0.0005,0.015
-1.6143319455282434,-10.339441075653488,-65.46748771374833,3461,405.5599133782483,2.860444958104594,0.17278243282301095,1.1778703152886498,1.945680439179428,0.0,0.0005,0.02
-18.871693949588888,-33.54780499865206,-96.94594316276599,4472,524.0288739172281,28.7567084078712,-0.42486583184258336,0.40364092906464766,1.0536672629695885,0.0,0.001,0.001
-14.297607374573825,-30.979384096064443,-95.78311364863139,4417,517.5839749759384,25.53769526828164,-0.3615576182929383,0.5144420796594987,1.0916911931175006,0.0,0.001,0.0015
-10.373144490085616,-27.42175738562269,-93.53107021741535,4356,510.4359961501444,24.219467401285584,-0.2734159779614114,0.6392002423508307,1.1349862258953167,0.0,0.001,0.002
-6.882083176571605,-22.85912448948757,-89.19822454288389,4217,494.14797882579404,20.70192079677496,-0.17192316812898806,0.7831937799043233,1.2380839459331279,0.0,0.001,0.003
-5.377110107918047,-20.750085252709827,-86.45798295055198,4069,476.8053416746872,17.301548291963627,-0.13492258540178695,0.8368499257058332,1.355861391005161,0.0,0.001,0.004
-4.441287344044253,-19.35520722255184,-84.1361038517573,3956,463.5640038498556,14.812942366026288,-0.11122345803840009,0.8694362017804419,1.4514661274014156,0.0,0.001,0.005
-3.27863536785236,-17.003554605720407,-79.86965343702515,3720,435.9095283926853,10.887096774193548,-0.07459677419351056,0.9162895927602234,1.6704301075268817,0.0,0.001,0.0075
-2.6730193018141906,-15.530242366516367,-77.48624516453222,3534,414.114051973051,8.60215053763441,-0.05376344086017674,0.9411764705882771,1.8636106395019807,0.0,0.001,0.01
-1.3847362741229923,-9.982916339267478,-65.70639007945715,3152,369.3512993262753,6.694162436548224,0.07106598984775633,1.0761645698742361,2.3318527918781724,0.0,0.001,0.015
-1.3530404123999058,-10.264738923403737,-64.7758095417483,2865,335.72064485081813,4.9214659685863875,0.033507853403184816,1.0352422907489445,2.7657940663176266,0.0,0.001,0.02
-16.44279744527627,-37.533938434130796,-98.20024490897676,4417,517.5839749759384,37.831107086257646,-0.3694815485623884,0.40568099053165724,1.0916911931175006,0.0,0.0015,0.001
-11.794002290317687,-32.8873531273467,-96.68502443292999,4325,506.803416746872,35.58381502890173,-0.28832369942195923,0.5524048815506194,1.157456647398844,0.0,0.0015,0.0015
-8.967049032472607,-29.101048293810372,-94.71357468416028,4203,492.50745909528393,33.00023792529146,-0.2299944484098624,0.6567234848484902,1.2491077801570307,0.0,0.0015,0.002
-6.0444158598635855,-24.068521088814077,-90.59386224994716,3998,468.48556304138594,28.08904452226113,-0.15732866433217502,0.7812173913043355,1.415457728864432,0.0,0.0015,0.003
-4.746977869692438,-22.156468460324398,-88.3581639430152,3845,450.5570259865255,23.5630689206762,-0.13602080624186874,0.8220483157536627,1.5508452535760728,0.0,0.0015,0.004
-3.786519699801751,-19.79650634294344,-84.8760733886825,3690,432.39412897016365,20.650406504065042,-0.10514905149051976,0.8674863387978081,1.7002710027100272,0.0,0.0015,0.005
-2.3786900349214455,-14.906982790406575,-75.17658320983094,3379,395.95115495668915,16.040248594258657,-0.037585084344472455,0.9552344025379018,2.0408404853506954,0.0,0.0015,0.0075
-1.7462985985364352,-12.561881610635039,-69.78660989700481,3144,368.4138594802695,12.945292620865139,-0.007527565733666277,0.9913530629643235,2.3428753180661577,0.0,0.0015,0.01
-0.9136330202987225,-7.0948015698381495,-58.04051910924806,2731,320.01852743022135,9.849871841816185,0.08348590259978342,1.0926076360682406,2.999633833760527,0.0,0.0015,0.015
-1.2202399418615173,-10.105987797229965,-61.045349701254835,2470,289.434552454283,6.923076923076923,-0.00769230769230047,0.9917355371900906,3.5303643724696356,0.0,0.0015,0.02
-13.852606699167744,-38.612285027638926,-98.4521614488879,4353,510.08445620789223,46.61153227659086,-0.30082701585115296,0.436531841652294,1.1371467953135768,0.0,0.002,0.001
-9.932928888007622,-33.07933537487775,-96.78888715937728,4226,495.20259865255053,44.08424041646947,-0.22852579271178125,0.5913034278459638,1.231424514907714,0.0,0.002,0.0015
-7.952776898419561,-30.091944598208098,-95.32018050683381,4083,478.4458614051973,40.117560617193234,-0.1976487876561347,0.6699386503067493,1.3441097232427137,0.0,0.002,0.002
-5.8909586861579575,-26.559135664250412,-92.90014246960807,3829,448.682146294514,33.27239488117002,-0.16819012797076072,0.7479452054794353,1.5659441107338732,0.0,0.002,0.003
-4.409797957022619,-22.99875325553723,-89.3850375716112,3598,421.61357074109725,28.84936075597554,-0.13451917732073343,0.8109375000000003,1.7948860478043358,0.0,0.002,0.004
-3.449189810587269,-19.817874507197875,-85.20856218504086,3440,403.0991337824832,25.75581395348837,-0.09854651162791611,0.8672670321064874,1.969186046511628,0.0,0.002,0.005
-2.318211717276492,-15.95588449959081,-78.18138499401333,3113,364.7812800769971,19.723739158368133,-0.06312238997751136,0.9213685474189705,2.3861227112110504,0.0,0.002,0.0075
-1.5875070535753413,-12.826689485679099,-70.30678451369465,2848,333.7285851780558,16.18679775280899,-0.02879213483146014,0.965647255969837,2.794241573033708,0.0,0.002,0.01
-0.7899585715155003,-7.065148647363251,-56.39307670950622,2444,286.3878729547642,12.356792144026187,0.050327332242221884,1.0574229691876706,3.586743044189853,0.0,0.002,0.015
-1.0500211544655442,-9.980040281341429,-61.651846674951784,2152,252.1713185755534,8.828996282527882,-0.028810408921932616,0.9683995922528038,4.344795539033457,0.0,0.002,0.02
-10.461084079497148,-37.93158908606187,-98.29942508410291,4184,490.2810394610202,59.53632887189293,-0.20618228170810463,0.49045087615669825,1.2638623326959848,0.0,0.003,0.001
-7.65699263340866,-32.21592773382875,-96.40295428176249,4009,469.7745428296439,56.123721626340725,-0.15814417560488295,0.6395679363274724,1.4058368670491395,0.0,0.003,0.0015
-5.8476644342118576,-27.607481303679315,-93.72057508044142,3822,447.8618864292589,52.61643118785976,-0.12305948020233227,0.7402908153874577,1.5724751439037152,0.0,0.003,0.002
-3.927679435167586,-22.083148358178306,-88.30268750317212,3502,410.3642925890279,45.71673329525986,-0.08566533409480641,0.842188321935817,1.8986293546544832,0.0,0.003,0.003
-3.2465379891173396,-20.437120423806622,-85.9891275644254,3231,378.6085178055823,39.24481584648716,-0.08428763024862548,0.861266768551549,2.2256267409470754,0.0,0.003,0.004
-2.709174258034642,-18.60987131833146,-83.04451014854287,3053,357.7504812319538,34.68719292499181,-0.07500818866688466,0.8851554663991982,2.472322305928595,0.0,0.003,0.005
-1.585217616761694,-13.32993242427164,-72.24974231691547,2666,312.40182868142443,27.569392348087025,-0.03507126781694301,0.951579492490953,3.121905476369092,0.0,0.003,0.0075
-0.9343595197281612,-9.193706774510712,-63.908308017087464,2372,277.95091434071225,23.145025295109612,0.002951096121427963,1.003839824465182,3.75716694772344,0.0,0.003,0.01
-0.15981915932248422,-2.034763700219999,-44.54592369019548,1969,230.72738209817132,18.181818181818183,0.09090909090909916,1.1111111111111212,4.935500253936008,0.0,0.003,0.015
-0.26779799383933567,-3.235754839284133,-51.76950735597019,1716,201.0808469682387,13.927738927738927,0.06779331779333118,1.078763258858061,5.958041958041958,0.0,0.003,0.02
-8.209336357686318,-34.74203207796446,-97.38515468615688,4079,477.97714148219444,69.20813924981614,-0.13489825937730968,0.5619028662420014,1.3473890659475363,0.0,0.004,0.001
-6.032300654906596,-29.264095389103495,-94.84199007540202,3839,449.8539461020212,65.14717374316228,-0.10422636103151699,0.700952914798211,1.556394894503777,0.0,0.004,0.0015
-4.961749331583344,-26.48360509822093,-92.83879135754896,3630,425.36333012512034,60.46831955922865,-0.09297520661157031,0.7648083623693377,1.7611570247933885,0.0,0.004,0.002
-2.847494728703614,-18.76031412946292,-83.27176937304236,3246,380.3662175168431,54.34380776340111,-0.04898336414048975,0.8927125506072674,2.2060998151571165,0.0,0.004,0.003
-2.6179298664281436,-18.485933217836713,-82.86420998245391,2950,345.68094321462945,46.983050847457626,-0.06033898305084735,0.8861892583120207,2.628135593220339,0.0,0.004,0.004
-2.1083486911147302,-16.322775895922714,-78.8441471022051,2741,321.1903272377286,42.17438890915724,-0.05107624954396928,0.9116719242902085,2.9813936519518425,0.0,0.004,0.005
-1.1386342155780311,-11.126455573368755,-66.04995273184745,2334,273.4980750721848,34.10454155955441,-0.019494430162809048,0.9704161248374535,3.850471293916024,0.0,0.004,0.0075
-0.572240715309944,-7.105989003080726,-59.33140487626791,2061,241.50794032723775,28.966521106259098,0.013828238719068462,1.019467213114754,4.625909752547307,0.0,0.004,0.01
-0.5023374020242485,-5.934874641808097,-54.89764475685259,1698,198.9716073147257,21.37809187279152,0.015459363957593349,1.0196629213483097,6.042402826855124,0.0,0.004,0.015
-0.18157706640020216,-2.647401360986945,-48.67459038171895,1428,167.3330125120308,17.577030812324928,0.05462184873949582,1.066270178419711,7.563025210084033,0.0,0.004,0.02
